Title,Attachments,Author,Category,Collection,Due,Ownership,Status,Transcribed,URL,Unfinished
"The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution (Walter Isaacson)",,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Big Little Man (Alex Tizon),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Chaos Monkeys (Antonio García Martínez),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Kids These Days: Human Capital and the Making of Millennials (Malcolm Harris),,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Amazon.com: A Culture of Growth: The Origins of the Modern Economy (Graz Schumpeter Lectures) eBook: Joel Mokyr: Kindle Store,"https://www.amazon.com/Culture-Growth-Origins-Schumpeter-Lectures-ebook/dp/B01EGQA1Z2/ref=redir_mobile_desktop?_encoding=UTF8&qid=&ref_=tmm_kin_title_0&sr=, Reading%20List/61mGUwkzQDL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Code: The Hidden Language of Computer Hardware and Software: Charles Petzold: 4708364241393: Amazon.com: Books,"https://www.amazon.com/Code-Language-Computer-Hardware-Software/dp/0735611319, Reading%20List/31LSfDuyzfL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
The Overstory: A Novel - Kindle edition by Richard Powers. Literature & Fiction Kindle eBooks @ Amazon.com.,"https://www.amazon.com/Overstory-Novel-Richard-Powers-ebook/dp/B073VX7HT4/ref=pd_rhf_ee_s_bmx_0_8?_encoding=UTF8&pd_rd_i=B073VX7HT4&pd_rd_r=da0398ca-1773-4e10-831c-0c1d172cce72&pd_rd_w=W23AL&pd_rd_wg=TCDFD&pf_rd_p=f2a6fedf-85fc-4c88-90ea-e5010e6eaa34&pf_rd_r=AVPT30ZNT63GH9TTT8X0&psc=1&refRID=AVPT30ZNT63GH9TTT8X0, Reading%20List/51hibl05FqL.jpg",,Fiction,No,,,To Acquire: Fiction,No,,No
Amazon.com: Little Women (Bantam Classics) (9780553212754): Louisa May Alcott: Books,https://www.amazon.com/Little-Bantam-Classics-Louisa-Alcott/dp/0553212753,,Fiction,No,,,To Acquire: Fiction,No,,No
Loki: Where Mischief Lies (Mackenzi Lee),,,Young Adult,No,,,To Acquire: Fiction,No,,No
"The Memory Police: A Novel: Yoko Ogawa, Stephen Snyder: 9781101870600: Amazon.com: Books",,,,No,,,To Acquire: Fiction,No,https://www.amazon.com/Memory-Police-Novel-Yoko-Ogawa/dp/1101870605,No
The Sparsholt Affair,,Alan Hollinghurst,Fiction,No,,OWNED: Singapore,Finished: 2019,Yes,,No
The Future Is History: How Totalitarianism Reclaimed Russia: Masha Gessen: 9781594634536: Amazon.com: Books,"https://www.amazon.com/dp/159463453X/?tag=thneyo0f-20, Reading%20List/5112B8HaKWYL.jpg",,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
Exhalation: Stories,"https://www.amazon.com/Exhalation-Stories-Ted-Chiang-ebook/dp/B07GD46PQZ/ref=sr_1_1?keywords=exhalation&qid=1551963614&s=digital-text&sr=1-1-catcorr, Reading%20List/41Ps2hLq7mL.jpg",Ted Chiang,Fiction,Yes,,OWNED: Singapore,Finished: 2019,Yes,,No
"Gödel, Escher, Bach: An Eternal Golden Braid: Douglas R. Hofstadter: 9780465026562: Amazon.com: Books",https://www.amazon.com/G%C3%B6del-Escher-Bach-Eternal-Golden/dp/0465026567,,Non-Fiction,No,,,To Acquire: Non-Fiction,No,,No
The Sympathizer,"https://www.amazon.com/Sympathizer-Novel-Pulitzer-Prize-Fiction/dp/0802124941, Reading%20List/518LdNuHDJL.jpg",Viet Thanh Nguyen,Fiction,No,,KINDLE,To Read: Fiction,No,,No
Manhattan Beach,,Jennifer Egan,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
The Leavers,,Lisa Ko,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Lincoln In The Bardo,,George Saunders,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
A Knight of The Seven Kingdoms,,George R.R. Martin,Fiction,Yes,,OWNED: Singapore,To Read: Fiction,No,,No
Free Food For Millionaires,,Min Jin Lee,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
The Goldfinch,,Donna Tartt,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
The Italian Teacher,,Tom Rachman,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
The Paper Menagerie And Other Stories,,Ken Liu,Fiction,Yes,,OWNED: Singapore,To Read: Fiction,No,,No
Milkman,,Anna Burns,Fiction,No,,KINDLE,To Read: Fiction,No,,No
Razor Girl,,Carl Hiaasen,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
The Great Believers,,Rebecca Makkai,Fiction,No,,KINDLE,To Read: Fiction,No,,No
How to Live Safely in a Science Fictional Universe,,Charles Yu,Fiction,No,,KINDLE,To Read: Fiction,No,,No
The Expanse #3: Abaddon’s Gate,,James S.A. Corey,Fiction,No,,KINDLE,To Read: Fiction,No,,No
Broken Earth #1: The Fifth Season,,N. K. Jemisin,Fiction,No,,KINDLE,To Read: Fiction,No,,No
Life After Life,,Kate Atkinson,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
Swann's Way,,Marcel Proust,Fiction,No,,KINDLE,To Read: Fiction,No,,No
The Handmaid's Tale,,Margaret Atwood,Fiction,No,,OWNED: Singapore,To Read: Fiction,No,,No
